accountname,PublisherAppStoreID,AccountID,marketid,AdSpend
,,,1511642145,
,,,1135852485,
,,,1536131108,
,,,1276081078,
,,,1487577946,
,,,1504831126,
,,,1134853735,
,,,1509517244,
,,,571393580,
,,,648668184,
,,,1462877149,
,,,1535973659,
,,,1572797307,
,,,448999087,
,,,1419734728,
,,,1523244705,
,,,1401837582,
,,,1483901554,
,,,740737088,
,,,505446332,
,,,1492428006,
,,,1580545967,
,,,979401801,
,,,1580396956,
,,,1539408727,
,,,1496612433,
,,,1481217701,
,,,1580099513,
,,,1576805547,
,,,1377372413,
,,,1575647531,
,,,,
,,,,
